time	V(n001)	I(I1)
Step Information: X=1  (Run: 1/5)
2.924402028977116e-001	-2.388895e+000	-3.473606e-005
2.980402028977109e-001	-2.163340e+000	-3.076315e-005
2.994402028977108e-001	-2.100025e+000	-2.971443e-005
3.049402028977102e-001	-1.826600e+000	-2.540054e-005
3.104402028977096e-001	-1.517789e+000	-2.081282e-005
3.159402028977090e-001	-1.179512e+000	-1.600053e-005
3.214402028977084e-001	-8.183153e-001	-1.101535e-005
3.269402028977078e-001	-4.412011e-001	-5.910805e-006
3.294402028977075e-001	-2.664902e-001	-3.565893e-006
3.332402028977071e-001	9.143721e-004	1.222675e-008
3.333333333333340e-001	7.478490e-003	1.000000e-007
Step Information: X=5  (Run: 5/5)
0.000000000000000e+000	7.489237e-003	1.000000e-007
5.240202897743185e-003	3.762626e-001	5.030744e-006
1.084020289774257e-002	7.630067e-001	1.024570e-005
1.644020289774195e-002	1.134580e+000	1.534770e-005
2.204020289774133e-002	1.483525e+000	2.027998e-005
2.764020289774072e-002	1.802840e+000	2.498760e-005
2.944020289774052e-002	1.898117e+000	2.644437e-005
3.504020289773990e-002	2.168655e+000	3.077526e-005
4.064020289773929e-002	2.396136e+000	3.476466e-005
4.624020289773867e-002	2.576508e+000	3.836818e-005
5.194020289773804e-002	2.708948e+000	4.159835e-005
5.774020289773740e-002	2.789531e+000	4.439372e-005
5.944020289773722e-002	2.802838e+000	4.511416e-005
6.544020289773656e-002	2.813474e+000	4.728291e-005
7.164020289773587e-002	2.768198e+000	4.889035e-005
7.824020289773515e-002	2.664089e+000	4.986972e-005
8.554020289773434e-002	2.493396e+000	5.005670e-005
8.944020289773391e-002	2.383331e+000	4.976905e-005
9.694020289773309e-002	2.145503e+000	4.846436e-005
1.044402028977323e-001	1.886871e+000	4.619467e-005
1.119402028977314e-001	1.621534e+000	4.300526e-005
1.194402028977306e-001	1.360235e+000	3.895978e-005
1.269402028977298e-001	1.109990e+000	3.413894e-005
1.344402028977290e-001	8.742967e-001	2.863893e-005
1.419402028977281e-001	6.537095e-001	2.256950e-005
1.490402028977274e-001	4.573168e-001	1.640857e-005
1.494402028977273e-001	4.465607e-001	1.605174e-005
1.562402028977266e-001	2.677016e-001	9.863564e-006
1.629402028977258e-001	9.672362e-002	3.609219e-006
1.672402028977253e-001	-1.178438e-002	-4.405341e-007
1.736402028977246e-001	-1.737511e-001	-6.453487e-006
1.794402028977240e-001	-3.231875e-001	-1.182278e-005
1.863402028977232e-001	-5.071828e-001	-1.801979e-005
1.935402028977225e-001	-7.094314e-001	-2.415833e-005
2.010402028977216e-001	-9.338413e-001	-3.007667e-005
2.085402028977208e-001	-1.173325e+000	-3.539290e-005
2.094402028977207e-001	-1.203043e+000	-3.598521e-005
2.169402028977199e-001	-1.457681e+000	-4.050181e-005
2.244402028977190e-001	-1.720828e+000	-4.420829e-005
2.319402028977182e-001	-1.983964e+000	-4.703070e-005
2.394402028977174e-001	-2.234932e+000	-4.891272e-005
2.469402028977166e-001	-2.458592e+000	-4.981682e-005
2.543402028977158e-001	-2.636150e+000	-4.973272e-005
2.610402028977150e-001	-2.746595e+000	-4.882119e-005
2.673402028977143e-001	-2.797158e+000	-4.725279e-005
2.694402028977141e-001	-2.801276e+000	-4.658041e-005
2.753402028977134e-001	-2.776438e+000	-4.430381e-005
2.811402028977128e-001	-2.697762e+000	-4.153085e-005
2.868402028977122e-001	-2.567298e+000	-3.832117e-005
2.924402028977116e-001	-2.388895e+000	-3.473606e-005
2.980402028977109e-001	-2.163340e+000	-3.076315e-005
2.994402028977108e-001	-2.100025e+000	-2.971443e-005
3.049402028977102e-001	-1.826600e+000	-2.540054e-005
3.104402028977096e-001	-1.517789e+000	-2.081282e-005
3.159402028977090e-001	-1.179512e+000	-1.600053e-005
3.214402028977084e-001	-8.183153e-001	-1.101535e-005
3.269402028977078e-001	-4.412011e-001	-5.910805e-006
3.294402028977075e-001	-2.664902e-001	-3.565893e-006
3.332402028977071e-001	9.143721e-004	1.222675e-008
3.333333333333340e-001	7.478490e-003	1.000000e-007
